System,Year,PdxnYear,PdxnYearBH,RepYear,Popn,ID,Geno,Rep,Rep_ID,Breeding_hist,Cross,Seed_Color,SeedWT_per_Plant_Grams,DTG,GermPercent,Cotyledon_Color,Vigor,DT50%F,100_SW,Taproot_Diameter,BR_1_Diameter,BR_2_Diameter,Branching_Density,Disease_Rating
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,147,B147,2,B147_2,Conventional,ORBV,Pigmented,26.11499375,NA,0.76,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,147,B147,3,B147_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,149,B149,1,B149_1,Conventional,ORBV,Pigmented,26.04000714,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,149,B149,3,B149_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,15,B15,1,B15_1,Conventional,ORBV,Pigmented,31.49624375,NA,0.96,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,15,B15,2,B15_2,Conventional,ORBV,Pigmented,22.34001538,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,15,B15,3,B15_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,151,B151,1,B151_1,Conventional,ORBV,Pigmented,21.51333333,NA,0.92,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,151,B151,2,B151_2,Conventional,ORBV,Pigmented,24.46220556,NA,0.92,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,151,B151,3,B151_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,152,B152,1,B152_1,Conventional,ORBV,Pigmented,23.48999375,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,152,B152,2,B152_2,Conventional,ORBV,Pigmented,25.21857857,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,152,B152,3,B152_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,154,B154,1,B154_1,Conventional,ORBV,Pigmented,32.87124375,NA,0.88,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,154,B154,2,B154_2,Conventional,ORBV,Pigmented,25.94,NA,0.92,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,154,B154,3,B154_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,157,B157,1,B157_1,Conventional,ORBV,Pigmented,20.87572143,NA,0.96,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,157,B157,2,B157_2,Conventional,ORBV,Pigmented,16.25333333,NA,1,NA,NA,38,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,157,B157,3,B157_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,16,B16,1,B16_1,Conventional,ORBV,Pigmented,21.73333333,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,16,B16,2,B16_2,Conventional,ORBV,Pigmented,29.50666667,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,16,B16,3,B16_3,Conventional,ORBV,Pigmented,NA,NA,0.84,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,160,B160,1,B160_1,Conventional,ORBV,Pigmented,35.02463077,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,160,B160,2,B160_2,Conventional,ORBV,Pigmented,23.28666667,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,160,B160,3,B160_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,161,B161,1,B161_1,Conventional,ORBV,Pigmented,31.13333333,NA,1,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,161,B161,2,B161_2,Conventional,ORBV,Pigmented,31.88999375,NA,0.88,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,161,B161,3,B161_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,164,B164,1,B164_1,Conventional,ORBV,Pigmented,20.06143571,NA,0.84,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,164,B164,2,B164_2,Conventional,ORBV,Pigmented,26.36857857,NA,0.88,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,164,B164,3,B164_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,166,B166,1,B166_1,Conventional,ORBV,Pigmented,20.48666667,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,166,B166,2,B166_2,Conventional,ORBV,Pigmented,26.14835833,NA,0.8,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,166,B166,3,B166_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,167,B167,1,B167_1,Conventional,ORBV,Pigmented,36.06499375,NA,0.92,NA,NA,43,NA,NA,NA,NA,NA,NA
